Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Mauritius,MUS,..,..,..,9.59,..,..,..,..,..,9.14,8.205,5.904,8.337,9.524,9.04,8.475,7.17,7.257,7.654,7.47,7.472,7.322,7.467,7.41,6.814,6.752,6.427,6.331
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Mexico,MEX,3.235,3.365,4.436,7.095,5.465,4.235,3.733,2.598,2.646,2.627,3.003,3.455,3.937,3.558,3.566,3.628,3.874,5.356,5.303,5.17,4.887,4.914,4.809,4.311,3.853,3.419,3.275,3.477
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.863,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Moldova,MDA,..,..,..,..,..,..,..,11.14,8.539,7.366,6.845,6.378,6.374,5.633,4.26,2.749,2.097,3.024,2.972,2.677,2.19,1.894,1.451,1.781,1.591,1.622,1.239,1.502
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,3.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.33,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Mongolia,MNG,..,..,..,5.5,..,..,..,..,..,..,6.2,6.768,..,..,7.193,7.2,5.565,5.86,6.549,4.769,3.905,4.231,4.798,4.861,7.235,6.359,5.377,9.269
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,30.31,..,19.4,17.15,19.09,19.649,19.759,19.808,19.585,18.054,17.555,17.732,16.082,15.19,15.128
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Morocco,MAR,15.68,15.69,..,22.86,17.76,16.67,19.12,13.94,13.58,12.46,11.59,11.92,10.83,11.01,9.67,9.56,9.57,8.96,9.09,8.91,8.99,9.23,9.7,9.46,9.3,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Mozambique,MOZ,..,..,..,..,..,2.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.426,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.766,..,1.356,0.767,0.407
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Namibia,NAM,..,..,19.4,..,..,24.45,..,..,20.3,..,..,..,22.09,..,..,..,..,..,22.12,..,16.771,19.028,18.521,..,23.352,..,19.877,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,22.76,..,..,..,..,..,..,..,..,22.96,..,13.282,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Nepal,NPL,..,..,..,..,4.5,..,..,1.85,..,..,..,..,..,..,..,..,1.328,..,..,..,..,..,..,3.1,..,10.66,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Netherlands,NLD,5.555,6.287,7.159,7.158,6.421,5.511,4.394,3.623,2.725,2.119,2.554,3.593,4.646,5.873,5.002,4.153,3.654,4.347,4.989,4.977,5.821,7.243,7.416,6.873,6.006,4.839,3.831,3.38
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,New Caledonia,NCL,..,..,..,..,18.64,..,..,..,..,..,..,..,16.31,..,..,..,..,13.97,..,..,..,..,14.59,..,..,11.676,11.702,10.881
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,New Zealand,NZL,10.667,9.804,8.354,6.461,6.29,6.857,7.718,7.023,6.13,5.433,5.282,4.745,4.005,3.807,3.857,3.661,4.167,6.121,6.557,6.491,6.931,5.839,5.428,5.415,5.147,4.736,4.335,4.109
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,4.12,..,7.6,6.41,5.37,5.31,4.89,6.2,8.16,7.83,..,5.208,5.28,4.52,4.7,3.9,3.3,5.2,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Niger,NER,..,..,..,..,..,..,..,..,..,1.47,..,..,..,3.1,..,..,..,..,..,0.317,2.177,..,0.524,..,..,7.769,..,0.544
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.77,..,3.711,4.562,4.311,7.06,8.389,..,10.695
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,North Macedonia,MKD,26.3,27.7,30,35.6,38.8,36,34.5,32.4,32.2,30.52,31.94,36.69,37.161,37.32,36.392,35.231,33.93,32.351,33.135,31.502,31.199,29.138,28.381,26.433,24.297,22.814,21.2,17.393
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,3.83,..,..,4.57,..,8.22,..,..,..,..,11.17,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Norway,NOR,5.91,5.965,5.349,6.307,5.036,4.687,3.737,3.247,3.458,3.738,4.022,4.221,4.256,4.381,3.399,2.493,2.55,3.103,3.521,3.215,3.123,3.423,3.484,4.296,4.679,4.162,3.8,3.687
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.142,..,..,..,..,..,..,..,3.266,..,1.8,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Pakistan,PAK,5.18,4.28,4.26,5.03,4.79,5.81,5.7,5.35,7.16,6.88,7.83,7.49,7.4,7.05,0.582,0.398,0.423,0.535,0.653,0.796,3.667,2.954,1.827,3.566,2.286,..,4.083,4.83
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Palau,PLW,..,..,..,7.03,..,..,..,..,3.3,..,..,..,..,4.18,..,..,..,..,..,..,..,..,1.357,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Panama,PAN,14.67,13.26,14,14.01,14.32,13.37,14.02,11.75,13.53,14.71,14.11,13.62,12.44,10.33,9.11,6.78,4.868,6.56,5.832,3.922,3.714,3.732,4.444,4.402,4.843,5.461,5.313,6.409
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,2.92,..,..,..,..,..,..,..,..,..,2.002,2.62,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Paraguay,PRY,4.98,5.06,4.41,3.4,8.15,5.36,4.417,5.343,7.61,6.206,5.54,6.814,6.513,4.825,5.277,4.713,4.415,5.46,4.569,4.67,4.086,4.385,5.034,4.556,5.255,6.138,6.217,6.595
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Peru,PER,9.4,7.11,..,..,7.07,7.69,4.972,4.367,4.069,4.848,4.84,4.151,4.707,4.866,4.172,4.079,4.025,3.964,3.596,3.477,3.238,3.575,3.208,3.272,3.741,3.691,3.492,3.379
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Philippines,PHL,9.866,9.289,9.483,9.526,8.564,8.777,10.254,9.809,11.189,3.698,..,3.527,3.554,3.795,4.052,3.434,3.72,3.858,3.605,3.592,3.504,3.497,3.6,3.068,2.695,2.552,2.338,2.237
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Poland,POL,13.645,14.393,14.825,13.695,12.684,10.964,9.935,12.29,16.314,18.373,21.21,19.37,19.074,17.746,13.841,9.602,7.118,8.167,9.637,9.632,10.088,10.326,8.99,7.501,6.161,4.888,3.846,3.277
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Portugal,PRT,3.985,5.301,6.709,7.064,7.298,6.571,4.64,4.579,3.806,6.8,4.497,6.132,6.319,7.582,7.649,7.966,7.553,9.432,10.771,12.682,15.531,16.188,13.897,12.447,11.068,8.869,6.994,6.464
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Puerto Rico,PRI,16.93,16.91,14.6,13.93,13.64,13.8,13.46,11.81,10.08,11.4,11.94,11.78,10.31,11.35,11.01,10.93,11.48,15,16.1,15.7,14.5,14.3,13.9,12,11.8,10.8,9.2,8.3
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..,1.48,..,0.87,0.52,0.31,0.31,0.45,0.56,0.48,0.28,0.2,0.17,0.15,0.14,0.11,0.1
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Romania,ROU,8.26,..,8.17,8.01,6.74,5.515,5.63,6.239,6.969,6.562,11.75,6.95,7.719,7.174,7.27,6.413,5.788,6.859,6.959,7.177,6.794,7.096,6.802,6.812,5.901,4.927,4.187,3.912
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Russian Federation,RUS,5.181,5.883,8.131,9.449,9.665,11.813,13.261,13.036,10.581,8.978,7.875,8.21,7.763,7.124,7.055,6.002,6.205,8.301,7.369,6.536,5.436,5.458,5.16,5.571,5.559,5.212,4.846,4.496
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Rwanda,RWA,..,..,..,..,0.56,..,..,..,..,..,0.89,..,..,..,..,..,..,..,..,..,..,..,1.169,..,..,11.875,10.759,11.236
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Samoa,WSM,..,..,..,..,..,..,..,..,..,4.96,..,..,..,..,1.29,..,..,..,..,5.68,8.752,..,8.72,..,..,9.4,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,San Marino,SMR,4.2,5.1,3.9,3.9,5.1,4.4,4.1,3,2.8,..,..,..,..,2.11,1.63,..,..,4.02,4.37,5.06,5.19,6.08,6.61,7.38,6.45,7.89,7.83,7.54
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,14.4,15.73,17.63,16.36,16.12,16.47,16.65,..,..,..,..,..,13.59,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Saudi Arabia,SAU,7.2,..,..,..,..,..,..,4.346,4.57,4.618,5.265,5.563,5.822,6.051,6.254,5.734,5.085,5.377,5.55,..,5.622,5.6,5.877,5.6,5.6,5.89,6.029,5.636
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Senegal,SEN,..,..,..,..,..,..,..,..,..,..,5.65,..,..,..,10.03,..,..,..,..,10.36,..,..,..,6.757,4.455,4.078,3.567,2.863
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Serbia,SRB,..,..,..,13.4,13.2,13.8,13.7,13.7,12.6,12.8,13.8,15.2,18.5,20.85,20.85,18.06,13.67,16.116,19.204,22.959,24,22.154,19.223,17.66,15.257,13.477,12.733,10.395
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Seychelles,SYC,..,..,10.35,..,..,..,..,..,..,..,9.81,..,..,5.5,..,..,..,..,..,4.11,..,..,3.841,4.151,3.965,3.715,3.528,2.966
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Sierra Leone,SLE,..,..,..,..,..,..,..,..,..,..,..,3.879,3.42,..,..,..,..,..,..,..,..,..,4.678,..,..,..,3.193,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Singapore,SGP,3.09,3.07,3.03,3.3,3.57,2.5,3.41,4.85,5.96,3.76,5.65,5.93,5.84,5.59,4.48,3.9,3.96,5.86,4.12,3.89,3.72,3.86,3.74,3.79,4.08,4.2,..,3.1
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Slovak Republic,SVK,..,12.2,13.654,13.109,11.341,11.894,12.421,16.099,18.546,20.46,18.541,17.55,18.206,16.276,13.395,11.16,9.514,12.023,14.387,13.634,13.966,14.227,11.537,11.492,9.679,8.142,6.544,5.761
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Slovenia,SVN,..,8.51,8.24,7.15,6.908,6.647,7.389,7.324,6.918,6.392,6.352,6.706,6.329,6.549,5.993,4.875,4.409,5.889,7.263,8.201,8.883,10.14,9.719,8.997,8.018,6.574,5.126,4.453
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.02,..,..,..,0.694,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.828
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,South Africa,ZAF,..,..,..,..,..,..,25,25.37,29.88,25.371,27.18,27.116,24.673,23.84,22.616,22.326,19.507,20.512,23.181,21.416,21.786,22.038,22.606,22.869,24.023,23.992,24.218,25.538
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.15,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Spain,ESP,17.697,22.156,24.209,22.675,22.142,20.698,18.673,15.475,13.785,10.348,11.146,11.283,11.09,9.146,8.452,8.232,11.255,17.857,19.86,21.391,24.788,26.094,24.442,22.058,19.635,17.224,15.255,14.104
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Sri Lanka,LKA,14.22,13.82,13.03,12.27,11.35,10.6,9.17,8.88,7.74,7.9,8.76,8.22,8.38,7.67,6.5,5.97,5.22,5.85,4.784,4.118,3.88,4.186,4.157,4.519,4.243,4.046,4.318,4.67
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,5.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,St. Lucia,LCA,..,16.8,17,15.83,16.33,20.47,21.6,18.09,16.49,..,20.39,22.18,20.97,18.7,16,14,12.72,15.37,..,18.86,19.06,22.21,..,..,..,19.136,19.329,15.613
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,21.1,..,..,..,..,..,..,18.79,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.8,13,..,17.44,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Suriname,SUR,17.28,15.64,12.7,8.39,10.88,10.56,10.63,13.6,..,..,..,..,9.49,..,..,..,..,8.72,7.15,7.54,8.1,6.6,6.94,7.22,7.917,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Sweden,SWE,5.722,9.33,9.58,8.897,9.547,10.359,8.941,7.607,5.466,4.73,4.965,5.555,6.693,7.486,7.066,6.161,6.235,8.351,8.61,7.804,7.976,8.052,7.954,7.432,6.99,6.718,6.365,6.833
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Switzerland,CHE,2.344,3.551,3.58,3.094,3.684,4.127,3.568,3.053,2.658,2.49,2.924,4.117,4.316,4.437,3.995,3.641,3.35,4.109,4.808,4.409,4.491,4.747,4.826,4.801,4.918,4.797,4.713,4.394
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Syrian Arab Republic,SYR,..,7.4,7.5,7.2,..,..,..,7.6,..,11.63,11.68,10.28,..,..,8.17,8.42,10.94,8.14,8.61,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Tajikistan,TJK,0.4,1.2,1.7,2,2.6,2.7,3.2,3,2.7,2.3,2.5,3.85,2,2,2.2,2.874,..,11.5,..,..,..,..,..,..,6.9,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Tanzania,TZA,..,..,..,..,..,..,..,..,..,2.994,3.6,..,..,..,3.299,..,0.343,2.5,1.314,3.47,2.608,2.93,2.125,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Thailand,THA,1.35,1.49,1.347,1.1,1.071,0.873,3.404,2.968,2.389,2.6,..,1.54,1.51,1.35,1.22,1.18,1.18,1.49,0.622,0.66,0.58,0.249,0.576,0.597,0.688,0.83,0.766,0.716
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,5.235,..,..,..,..,..,5.646,..,..,3.301,..,..,4.05,..,..,4.657,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Togo,TGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.229,..,..,..,..,1.982,..,..,..,2.204,..,3.744,..,2.056
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Tonga,TON,..,1.3,..,..,..,..,..,..,..,..,..,5.18,..,..,1.09,..,..,..,..,..,..,..,..,..,..,..,2.248,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Trinidad and Tobago,TTO,19.66,19.81,18.44,17.22,16.25,15.01,14.21,13.12,12.1,10.88,10.39,10.48,8.33,7.95,6.27,5.54,4.63,5.28,4.033,3.425,3.718,2.683,2.477,2.428,3.207,..,..,3.523
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Tunisia,TUN,..,..,..,..,..,15.94,..,15.21,14.94,14.4,14.55,14.51,14.23,12.872,12.51,12.365,12.444,13.291,13.049,18.334,17.63,15.934,14.259,15.159,15.557,15.33,15.459,17.153
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Turkiye,TUR,8.509,8.962,8.577,7.644,6.629,6.841,6.888,7.687,6.495,8.381,10.358,10.542,10.838,10.636,10.227,10.285,10.965,14.026,11.879,9.789,9.21,9.713,9.901,10.304,10.899,10.919,10.956,13.73
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,4,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,9.71,6.18,7.77,9.86,8.04,7.45,5.43,8.3,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,6.53,..,..,..,..,..,..,..,..,..,..,..,..,..,8.489,26.553,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Uganda,UGA,..,..,..,..,..,..,..,..,..,..,3.5,3.6,..,1.9,..,..,..,3.6,1.401,0.882,3.551,1.91,1.566,..,..,3.643,..,2.563
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Ukraine,UKR,..,..,..,5.62,7.65,8.93,11.32,11.864,11.707,11.061,10.136,9.057,8.59,7.18,6.81,6.351,6.363,8.84,8.1,7.851,7.529,7.17,9.27,9.14,9.35,9.5,8.799,8.194
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,United Arab Emirates,ARE,..,..,..,1.8,..,..,..,..,2.25,..,..,..,..,3.12,..,..,..,..,..,..,..,..,..,..,1.64,2.462,2.236,2.331
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,United Kingdom,GBR,9.772,10.346,9.648,8.694,8.189,7.072,6.198,6.042,5.558,4.696,5.037,4.807,4.594,4.751,5.35,5.262,5.615,7.537,7.787,8.038,7.885,7.525,6.11,5.301,4.81,4.33,3.996,3.737
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,United States,USA,7.5,6.9,6.119,5.65,5.451,5,4.511,4.219,3.992,4.731,5.783,5.989,5.529,5.084,4.623,4.622,5.784,9.254,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Uruguay,URY,8.96,8.35,9.04,10.02,10.85,11.44,9.362,10.466,12.627,15.052,16.648,16.661,12.98,12.009,10.844,9.403,8.026,7.74,7.158,6.307,6.451,6.444,6.547,7.488,7.841,7.89,8.336,8.734
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Uzbekistan,UZB,0.2,0.4,0.4,0.4,..,..,..,..,0.4,0.4,0.4,0.3,0.4,0.3,0.2,4.99,4.89,5.04,5.36,4.96,4.87,4.86,5.09,5.15,5.16,5.83,9.35,8.98
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.006,..,..,4.565,1.848,..,..,..,..,..,..,..,..,5.445
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,"Venezuela, RB",VEN,..,..,8.56,10.24,11.77,..,..,..,..,8.83,16.17,16.78,..,10.663,8.606,7.279,6.245,6.097,7.112,6.902,6.601,..,..,..,5.319,5.045,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Viet Nam,VNM,..,..,..,..,1.93,2.87,2.29,2.33,2.26,2.76,2.12,2.25,2.14,..,..,2.026,..,1.737,1.114,0.999,1.027,1.316,1.256,1.849,1.848,1.874,1.161,1.681
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,10.625,21.493,27.465,23.004,23.215,20.016,19.014,18.282,22.913,20.452,21.416,17.597,19.202,19.894,20.527,23.005,23.939,25.677,26.256,25.34
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,"Yemen, Rep.",YEM,..,..,8.34,..,..,..,..,11.46,..,..,..,..,16.23,16.05,15.7,15.33,14.97,14.63,17.82,..,..,..,13.467,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Zambia,ZMB,..,19.7,..,..,15.3,..,12,..,12.93,..,..,..,..,15.9,..,..,7.93,..,13.19,..,7.85,..,..,..,..,8.518,5.031,5.539
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Zimbabwe,ZWE,..,..,4.96,..,..,6.93,..,6,..,..,..,..,4.39,..,..,..,..,..,..,5.368,..,..,4.774,..,..,..,..,7.373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
